Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Type,Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society",Crimes Against Persons,,,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,,,
,,,,,,,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism
of Property","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud","Imper-
sonation","Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Por-
nography/
Obscene
Material","Pros-
titution
Offenses","Pros-
titution","Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
Cities,Apache Junction,"40,917","2,652",806,"1,192",654,702,169,418,115,6,4,2,0,0,0,0,15,83,25,3,0,52,0,3,6,0,69,16,245,4,3,163,59,35,25,0,0,44,0,543,0,0,124,30,0,111,17,261,86,8,49,5,572,316,256,0,0,0,0,0,16,0,0,0,0,61
,Avondale,"92,661","6,098","1,859","3,250",989,"1,714",291,"1,199",224,9,6,1,2,0,0,0,7,129,41,0,12,66,0,10,11,0,191,29,375,7,29,407,183,69,38,1,11,104,1,"1,833",4,2,745,18,1,366,67,630,275,83,10,6,764,382,382,0,0,0,0,0,60,19,3,0,16,140
,Bisbee,"5,052",133,59,52,22,51,8,31,12,0,0,0,0,0,0,0,2,6,0,0,0,6,0,0,1,0,7,0,1,0,0,6,3,1,2,0,0,0,0,30,0,0,6,0,0,3,0,21,7,0,0,1,18,12,6,0,0,0,0,0,0,0,0,0,0,3
,Buckeye,"112,048","3,147",909,"1,797",441,816,133,534,149,2,2,0,0,0,0,0,1,90,53,1,5,22,1,8,6,1,104,12,517,0,3,300,174,30,70,0,7,19,0,709,2,3,143,39,0,158,7,357,131,12,2,6,378,174,204,0,0,0,0,0,1,7,7,0,0,49
,Bullhead City,"43,652","2,677",542,"1,745",390,508,160,296,52,6,5,1,0,0,0,0,7,21,7,0,0,10,0,4,5,0,110,10,543,0,10,240,153,59,2,0,0,26,0,682,0,0,217,2,0,49,0,414,117,17,11,1,334,160,174,0,0,0,0,0,8,0,0,0,0,47
,Camp Verde,"12,530",724,183,416,125,163,16,106,41,0,0,0,0,0,0,0,8,12,1,0,0,11,0,0,0,0,19,17,140,0,1,58,23,20,0,0,10,5,0,151,0,1,44,0,0,14,0,92,28,0,2,2,109,67,42,0,0,0,0,0,2,1,1,0,0,11
,Casa Grande,"63,228","3,896","1,232","1,847",817,"1,106",271,732,103,8,4,3,1,0,0,0,20,98,25,1,0,54,0,18,14,2,173,19,228,7,4,185,75,43,1,0,0,66,0,940,1,1,284,31,0,200,20,403,228,39,8,4,665,308,357,0,0,0,0,0,32,0,0,0,0,116
,Chandler,"282,419","12,103","2,681","7,179","2,243","2,457",310,"1,665",482,9,7,2,0,1,1,0,27,187,68,23,15,56,0,25,6,2,368,110,"1,204",39,73,"1,456",437,333,21,6,167,477,15,"3,412",4,2,"1,276",227,4,660,234,"1,005",366,79,64,54,"1,725",815,910,0,0,0,0,0,175,71,37,11,23,218
,Chino Valley,"13,958",362,126,142,94,117,11,77,29,0,0,0,0,0,0,0,1,8,2,0,0,6,0,0,1,0,5,1,61,0,0,32,25,1,0,0,2,4,0,39,0,0,3,0,0,3,0,33,2,1,0,2,80,42,38,0,0,0,0,0,4,0,0,0,0,8
,Clarkdale,"5,035",104,33,59,12,28,4,23,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,3,1,7,0,0,16,5,5,0,0,5,0,1,29,0,0,4,0,0,4,0,21,2,0,1,0,8,4,4,0,0,0,0,0,0,0,0,0,0,4
,Colorado City,"2,587",199,36,144,19,26,8,15,3,0,0,0,0,0,0,0,0,10,8,0,0,1,0,1,4,0,17,1,42,0,0,1,0,0,0,1,0,0,0,72,0,0,37,0,0,2,0,33,5,0,2,0,17,8,9,0,0,0,0,0,0,0,0,0,0,2
